% 2016îN 11åé 14ì˙ 17éû 34ï™ 26.835000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2: 0:30
END         TIME :  2008/12/13  2:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    102  1509    526529    8129  -3761082.2474   3636605.9487   3636250.5938    2215.5425   -9921.4065      55.5004
    103  1509    526530    8130  -3761082.2790   3636605.9514   3636250.6443    2215.5625   -9921.3794      55.5495
    104  1509    526531    8131  -3761082.2961   3636605.9603   3636250.6669    2215.5681   -9921.3714      55.5776
    105  1509    526532    8132  -3761082.3106   3636605.9666   3636250.6980    2215.5735   -9921.3545      55.6076
    106  1509    526533    8133  -3761082.3257   3636605.9713   3636250.7141    2215.5808   -9921.3495      55.6284
    107  1509    526534    8134  -3761082.3459   3636605.9780   3636250.7386    2215.5900   -9921.3404      55.6582
    108  1509    526535    8135  -3761082.3584   3636605.9817   3636250.7514    2215.5960   -9921.3365      55.6750
    109  1509    526536    8136  -3761082.3704   3636605.9916   3636250.7734    2215.5972   -9921.3274      55.7003
    110  1509    526537    8137  -3761082.3773   3636605.9894   3636250.7966    2215.6036   -9921.3105      55.7165
    111  1509    526538    8138  -3761082.3869   3636605.9932   3636250.8255    2215.6075   -9921.2923      55.7409
    112  1509    526539    8139  -3761082.3956   3636605.9966   3636250.8503    2215.6111   -9921.2769      55.7622
    113  1509    526540    8140  -3761082.4045   3636606.0000   3636250.8739    2215.6148   -9921.2626      55.7829
    114  1509    526541    8141  -3761082.4134   3636606.0095   3636250.9093    2215.6142   -9921.2412      55.8139
    115  1509    526542    8142  -3761082.4235   3636606.0174   3636250.9314    2215.6156   -9921.2303      55.8370
    116  1509    526543    8143  -3761082.4332   3636606.0273   3636250.9582    2215.6153   -9921.2164      55.8638
    117  1509    526544    8144  -3761082.4432   3636606.0388   3636250.9905    2215.6139   -9921.1987      55.8947
    118  1509    526545    8145  -3761082.4550   3636606.0510   3636251.0173    2215.6134   -9921.1865      55.9241
    119  1509    526546    8146  -3761082.4673   3636606.0581   3636251.0428    2215.6168   -9921.1735      55.9500
    120  1509    526547    8147  -3761082.4858   3636606.0682   3636251.0662    2215.6224   -9921.1660      55.9800
    121  1509    526548    8148  -3761082.4966   3636606.0762   3636251.0915    2215.6242   -9921.1531      56.0055
    122  1509    526549    8149  -3761082.5120   3636606.0905   3636251.1205    2215.6246   -9921.1414      56.0394
    123  1509    526550    8150  -3761082.5288   3636606.1041   3636251.1505    2215.6265   -9921.1292      56.0742
    124  1509    526551    8151  -3761082.5466   3636606.1087   3636251.1750    2215.6356   -9921.1183      56.1014
    125  1509    526552    8152  -3761082.5615   3636606.1115   3636251.2004    2215.6439   -9921.1048      56.1263
    126  1509    526553    8153  -3761082.5798   3636606.1211   3636251.2329    2215.6498   -9921.0896      56.1612
    127  1509    526554    8154  -3761082.5931   3636606.1258   3636251.2615    2215.6557   -9921.0736      56.1881
    128  1509    526555    8155  -3761082.5999   3636606.1275   3636251.2860    2215.6591   -9921.0570      56.2072
    129  1509    526556    8156  -3761082.6101   3636606.1298   3636251.3119    2215.6646   -9921.0409      56.2293
    130  1509    526557    8157  -3761082.6182   3636606.1566   3636251.2957    2215.6510   -9921.0683      56.2401
    131  1509    526558    8158  -3761082.6223   3636606.1579   3636251.3209    2215.6528   -9921.0498      56.2577
    132  1509    526559    8159  -3761082.6293   3636606.1559   3636251.3388    2215.6591   -9921.0372      56.2710
    133  1509    526560    8160  -3761082.6260   3636606.1506   3636251.3563    2215.6608   -9921.0194      56.2761
    134  1509    526561    8161  -3761082.6394   3636606.1542   3636251.3756    2215.6674   -9921.0106      56.2971
    135  1509    526562    8162  -3761082.6494   3636606.1511   3636251.3969    2215.6766   -9920.9961      56.3134
    136  1509    526563    8163  -3761082.6585   3636606.1540   3636251.4269    2215.6808   -9920.9764      56.3376
    137  1509    526564    8164  -3761082.6665   3636606.1554   3636251.4514    2215.6854   -9920.9603      56.3573
    138  1509    526565    8165  -3761082.6748   3636606.1583   3636251.4826    2215.6891   -9920.9393      56.3818
