% 2016îN 11åé 22ì˙ 16éû 27ï™ 59.386000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  020606_rov_mod.02o
Ephemeris   File :  020606_rov_mod.02n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2002/ 6/ 6  5:28:20
END         TIME :  2002/ 6/ 6  5:43: 5
Ref. Position[m] :  X = -3761137.6450,  Y = 3636645.7770,  Z = 3636348.1380

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    130  1169    365429   19829  -3760912.3936   3636775.4895   3636369.9785    -249.8251      59.0415     -46.2819
    131  1169    365430   19830  -3760912.1186   3636775.8286   3636369.9300    -250.2601      58.9801     -46.2787
    132  1169    365431   19831  -3760911.8464   3636776.1503   3636369.8865    -250.6806      58.9284     -46.2806
    133  1169    365432   19832  -3760911.5729   3636776.4771   3636369.8411    -251.1056      58.8737     -46.2816
    134  1169    365433   19833  -3760911.2889   3636776.8087   3636369.8026    -251.5414      58.8270     -46.2821
    135  1169    365434   19834  -3760911.0139   3636777.1396   3636369.7658    -251.9705      58.7784     -46.2768
    136  1169    365435   19835  -3760910.7319   3636777.4683   3636369.7287    -252.4028      58.7332     -46.2770
    137  1169    365436   19836  -3760910.4481   3636777.8030   3636369.6911    -252.8407      58.6859     -46.2751
    138  1169    365437   19837  -3760910.1602   3636778.1253   3636369.6540    -253.2725      58.6459     -46.2823
    139  1169    365438   19838  -3760909.8760   3636778.4568   3636369.6266    -253.7083      58.6084     -46.2766
    140  1169    365439   19839  -3760909.5859   3636778.7803   3636369.6147    -254.1426      58.5893     -46.2701
    141  1169    365440   19840  -3760909.2904   3636779.0960   3636369.6030    -254.5749      58.5756     -46.2711
    142  1169    365441   19841  -3760908.9806   3636779.4280   3636369.5941    -255.0290      58.5637     -46.2696
    143  1169    365442   19842  -3760908.6787   3636779.7452   3636369.5824    -255.4668      58.5522     -46.2734
    144  1169    365443   19843  -3760908.3536   3636780.0797   3636369.5852    -255.9333      58.5552     -46.2729
    145  1169    365444   19844  -3760908.0437   3636780.3851   3636369.5870    -256.3683      58.5627     -46.2804
    146  1169    365445   19845  -3760907.7316   3636780.7055   3636369.5878    -256.8155      58.5643     -46.2814
    147  1169    365446   19846  -3760907.4026   3636781.0079   3636369.6192    -257.2617      58.6051     -46.2849
    148  1169    365447   19847  -3760907.0745   3636781.3191   3636369.6373    -257.7135      58.6311     -46.2905
    149  1169    365448   19848  -3760906.7468   3636781.6304   3636369.6680    -258.1650      58.6674     -46.2887
    150  1169    365449   19849  -3760906.4131   3636781.9278   3636369.7034    -258.6108      58.7153     -46.2955
    151  1169    365450   19850  -3760906.0817   3636782.2198   3636369.7468    -259.0510      58.7712     -46.2996
    152  1169    365451   19851  -3760905.7725   3636782.5200   3636369.7619    -259.4818      58.7913     -46.3020
    153  1169    365452   19852  -3760905.4513   3636782.8140   3636369.8073    -259.9165      58.8437     -46.2978
    154  1169    365453   19853  -3760905.1325   3636783.1106   3636369.8456    -260.3512      58.8883     -46.2946
    155  1169    365454   19854  -3760904.8058   3636783.3952   3636369.8852    -260.7830      58.9420     -46.3023
    156  1169    365455   19855  -3760904.4708   3636783.6711   3636369.9579    -261.2141      59.0297     -46.3008
    157  1169    365456   19856  -3760904.1484   3636783.9663   3636369.9998    -261.6504      59.0792     -46.2986
    158  1169    365457   19857  -3760903.8220   3636784.2493   3636370.0639    -262.0808      59.1534     -46.2929
    159  1169    365458   19858  -3760903.4882   3636784.5249   3636370.1215    -262.5109      59.2284     -46.2995
    160  1169    365459   19859  -3760903.1620   3636784.8126   3636370.1732    -262.9445      59.2906     -46.2981
    161  1169    365460   19860  -3760902.8426   3636785.0846   3636370.2332    -263.3621      59.3629     -46.2970
    162  1169    365461   19861  -3760902.5141   3636785.3604   3636370.3023    -263.7887      59.4451     -46.2938
    163  1169    365462   19862  -3760902.1748   3636785.6185   3636370.3859    -264.2101      59.5506     -46.2988
    164  1169    365463   19863  -3760901.8356   3636785.8784   3636370.4734    -264.6327      59.6585     -46.3004
    165  1169    365464   19864  -3760901.4904   3636786.1530   3636370.5605    -265.0701      59.7627     -46.2974
    166  1169    365465   19865  -3760901.1605   3636786.4035   3636370.6492    -265.4795      59.8715     -46.2981
    167  1169    365466   19866  -3760900.8262   3636786.6558   3636370.7434    -265.8933      59.9859     -46.2974
    168  1169    365467   19867  -3760900.4675   3636786.9046   3636370.8375    -266.3214      60.1117     -46.3130
    169  1169    365468   19868  -3760900.1373   3636787.1539   3636370.9528    -266.7302      60.2429     -46.2994
