% 2016îN 11åé 14ì˙ 17éû 31ï™ 30.982000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2:30: 0
END         TIME :  2008/12/13  3: 0: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    173  1509    527572    9172  -3759412.7423   3636888.4676   3637604.1173     851.5236   -8237.1677      12.1180
    174  1509    527573    9173  -3759404.6713   3636888.7308   3637611.9281     845.7217   -8227.5476      12.0089
    175  1509    527574    9174  -3759396.4885   3636889.0002   3637619.9586     839.8377   -8217.7041      11.9638
    176  1509    527575    9175  -3759388.2871   3636889.2950   3637628.1006     833.9225   -8207.7717      11.9864
    177  1509    527576    9176  -3759380.1637   3636889.6140   3637636.2229     828.0441   -8197.8974      12.0573
    178  1509    527577    9177  -3759372.2834   3636889.9587   3637644.1690     822.3163   -8188.2778      12.1845
    179  1509    527578    9178  -3759364.6110   3636890.2834   3637651.8653     816.7475   -8178.9407      12.2791
    180  1509    527579    9179  -3759357.1798   3636890.6307   3637659.3156     811.3302   -8169.9134      12.3870
    181  1509    527580    9180  -3759350.0020   3636890.9408   3637666.5602     806.1158   -8161.1443      12.5047
    182  1509    527581    9181  -3759343.0301   3636891.2358   3637673.5536     801.0554   -8152.6597      12.5905
    183  1509    527582    9182  -3759336.3298   3636891.5440   3637680.2525     796.1745   -8144.5337      12.6743
    184  1509    527583    9183  -3759330.2823   3636891.7883   3637686.3185     791.7934   -8137.1695      12.7420
    185  1509    527584    9184  -3759325.2701   3636891.9169   3637691.0494     788.2154   -8131.2794      12.5856
    186  1509    527585    9185  -3759321.5906   3636892.0398   3637694.5794     785.5683   -8126.9201      12.5199
    187  1509    527586    9186  -3759319.1428   3636892.1270   3637696.9436     783.8034   -8124.0094      12.4883
    188  1509    527587    9187  -3759317.4749   3636892.1784   3637698.5029     782.6066   -8122.0650      12.4326
    189  1509    527588    9188  -3759316.5428   3636892.1927   3637699.3912     781.9482   -8120.9588      12.4029
    190  1509    527589    9189  -3759316.3028   3636892.2101   3637699.6199     781.7687   -8120.6795      12.4031
    191  1509    527590    9190  -3759316.2925   3636892.2155   3637699.6327     781.7577   -8120.6669      12.4074
    192  1509    527591    9191  -3759316.2112   3636892.2075   3637699.7070     781.7069   -8120.5693      12.3977
    193  1509    527592    9192  -3759315.8467   3636892.2191   3637700.0300     781.4451   -8120.1591      12.3755
    194  1509    527593    9193  -3759315.1285   3636892.2328   3637700.7865     780.9358   -8119.2489      12.3957
    195  1509    527594    9194  -3759313.4217   3636892.2387   3637702.3846     779.7446   -8117.2385      12.3135
    196  1509    527595    9195  -3759310.7850   3636892.2871   3637704.8677     777.8762   -8114.1369      12.2170
    197  1509    527596    9196            NaN            NaN            NaN          NaN          NaN          NaN
    198  1509    527597    9197            NaN            NaN            NaN          NaN          NaN          NaN
    199  1509    527598    9198            NaN            NaN            NaN          NaN          NaN          NaN
    200  1509    527599    9199            NaN            NaN            NaN          NaN          NaN          NaN
    201  1509    527600    9200            NaN            NaN            NaN          NaN          NaN          NaN
    202  1509    527601    9201  -3759283.5261   3636895.9946   3637730.3797     756.2557   -8083.4829      12.9540
    203  1509    527602    9202  -3759278.2553   3636896.0264   3637735.3695     752.5675   -8077.2354      12.7393
    204  1509    527603    9203  -3759273.0076   3636896.0408   3637740.4231     748.9078   -8070.9382      12.5648
    205  1509    527604    9204  -3759268.0693   3636895.9767   3637745.2099     745.5197   -8064.9559      12.3743
    206  1509    527605    9205  -3759263.8147   3636895.9166   3637749.4295     742.6042   -8059.7216      12.2624
    207  1509    527606    9206  -3759260.2082   3636895.8744   3637753.0066     740.1265   -8055.2880      12.1727
    208  1509    527607    9207  -3759257.2377   3636895.8287   3637756.0078     738.0936   -8051.5869      12.1240
    209  1509    527608    9208  -3759254.8370   3636895.8196   3637758.4231     736.4307   -8048.6153      12.0947
    210  1509    527609    9209  -3759252.8422   3636895.8181   3637760.4339     735.0445   -8046.1452      12.0761
    211  1509    527610    9210  -3759251.2985   3636895.7991   3637761.9780     733.9847   -8044.2364      12.0446
    212  1509    527611    9211  -3759250.1562   3636895.7808   3637763.1218     733.2035   -8042.8213      12.0195
    213  1509    527612    9212  -3759249.0723   3636895.7854   3637764.2319     732.4464   -8041.4671      12.0225
    214  1509    527613    9213  -3759247.7587   3636895.7700   3637765.5698     731.5439   -8039.8236      12.0099
    215  1509    527614    9214  -3759245.9590   3636895.7589   3637767.4393     730.3004   -8037.5459      12.0193
    216  1509    527615    9215  -3759243.7739   3636895.6828   3637769.6438     728.8356   -8034.8091      11.9575
    217  1509    527616    9216  -3759241.6216   3636895.6398   3637771.9755     727.3697   -8031.9948      12.0070
    218  1509    527617    9217  -3759239.4549   3636895.5867   3637774.2627     725.9012   -8029.2070      12.0166
    219  1509    527618    9218  -3759237.3791   3636895.5118   3637776.4729     724.5114   -8026.5111      12.0231
    220  1509    527619    9219  -3759235.4900   3636895.4143   3637778.5187     723.2677   -8024.0178      12.0321
    221  1509    527620    9220  -3759234.1531   3636895.3483   3637779.9475     722.3855   -8022.2699      12.0291
    222  1509    527621    9221  -3759233.5611   3636895.3168   3637780.6030     721.9964   -8021.4764      12.0397
    223  1509    527622    9222  -3759233.4048   3636895.3181   3637780.7997     721.8868   -8021.2514      12.0616
    224  1509    527623    9223  -3759233.3964   3636895.3166   3637780.8053     721.8820   -8021.2428      12.0590
    225  1509    527624    9224  -3759233.3967   3636895.3178   3637780.8038     721.8814   -8021.2446      12.0589
    226  1509    527625    9225  -3759233.3974   3636895.3159   3637780.8030     721.8833   -8021.2448      12.0578
    227  1509    527626    9226  -3759233.3979   3636895.3187   3637780.8039     721.8815   -8021.2453      12.0602
    228  1509    527627    9227  -3759233.3984   3636895.3200   3637780.8085     721.8810   -8021.2423      12.0639
    229  1509    527628    9228  -3759233.3974   3636895.3187   3637780.8055     721.8812   -8021.2439      12.0609
    230  1509    527629    9229  -3759233.3968   3636895.3189   3637780.8048     721.8807   -8021.2442      12.0603
    231  1509    527630    9230  -3759233.3970   3636895.3175   3637780.8073     721.8818   -8021.2417      12.0610
    232  1509    527631    9231  -3759233.3990   3636895.3180   3637780.8035     721.8828   -8021.2459      12.0603
    233  1509    527632    9232  -3759233.3946   3636895.3120   3637780.8053     721.8841   -8021.2401      12.0553
    234  1509    527633    9233  -3759233.3977   3636895.3159   3637780.8042     721.8835   -8021.2439      12.0587
    235  1509    527634    9234  -3759233.3945   3636895.3154   3637780.8052     721.8816   -8021.2416      12.0571
    236  1509    527635    9235  -3759233.4014   3636895.3192   3637780.8065     721.8836   -8021.2449      12.0641
    237  1509    527636    9236  -3759233.3954   3636895.3149   3637780.8046     721.8826   -8021.2422      12.0570
    238  1509    527637    9237  -3759233.3981   3636895.3180   3637780.8056     721.8822   -8021.2437      12.0609
    239  1509    527638    9238  -3759233.3975   3636895.3159   3637780.8002     721.8833   -8021.2471      12.0563
    240  1509    527639    9239  -3759233.3951   3636895.3136   3637780.8037     721.8833   -8021.2424      12.0556
    241  1509    527640    9240  -3759233.3956   3636895.3154   3637780.8033     721.8823   -8021.2436      12.0567
    242  1509    527641    9241  -3759233.3955   3636895.3156   3637780.8062     721.8821   -8021.2413      12.0584
    243  1509    527642    9242  -3759233.3964   3636895.3167   3637780.8066     721.8819   -8021.2417      12.0598
    244  1509    527643    9243  -3759233.3952   3636895.3154   3637780.8026     721.8821   -8021.2440      12.0561
    245  1509    527644    9244  -3759233.3957   3636895.3162   3637780.8017     721.8818   -8021.2453      12.0562
    246  1509    527645    9245  -3759233.3968   3636895.3190   3637780.8049     721.8806   -8021.2442      12.0604
    247  1509    527646    9246  -3759233.3993   3636895.3175   3637780.8101     721.8834   -8021.2404      12.0640
    248  1509    527647    9247  -3759233.3969   3636895.3188   3637780.8059     721.8808   -8021.2433      12.0609
    249  1509    527648    9248  -3759233.3949   3636895.3140   3637780.8046     721.8829   -8021.2417      12.0562
    250  1509    527649    9249  -3759233.3962   3636895.3146   3637780.8047     721.8833   -8021.2424      12.0574
    251  1509    527650    9250  -3759233.3999   3636895.3191   3637780.8098     721.8827   -8021.2416      12.0651
    252  1509    527651    9251  -3759233.4015   3636895.3209   3637780.8085     721.8825   -8021.2440      12.0662
    253  1509    527652    9252  -3759233.3987   3636895.3177   3637780.8086     721.8828   -8021.2414      12.0629
    254  1509    527653    9253  -3759233.4002   3636895.3208   3637780.8093     721.8817   -8021.2427      12.0659
    255  1509    527654    9254  -3759233.3966   3636895.3184   3637780.8079     721.8809   -8021.2414      12.0616
    256  1509    527655    9255  -3759233.4007   3636895.3193   3637780.8084     721.8831   -8021.2431      12.0648
    257  1509    527656    9256  -3759233.3988   3636895.3207   3637780.8077     721.8807   -8021.2434      12.0641
    258  1509    527657    9257  -3759233.4014   3636895.3205   3637780.8074     721.8827   -8021.2447      12.0653
    259  1509    527658    9258  -3759233.4025   3636895.3214   3637780.8108     721.8828   -8021.2427      12.0685
    260  1509    527659    9259  -3759233.3984   3636895.3210   3637780.8096     721.8803   -8021.2418      12.0652
    261  1509    527660    9260  -3759233.4007   3636895.3214   3637780.8044     721.8816   -8021.2472      12.0637
    262  1509    527661    9261  -3759233.4020   3636895.3214   3637780.8077     721.8825   -8021.2450      12.0664
    263  1509    527662    9262  -3759233.4008   3636895.3165   3637780.8083     721.8851   -8021.2421      12.0632
