% 2016îN 11åé 14ì˙ 17éû 45ï™ 1.662000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  3: 0: 0
END         TIME :  2008/12/13  3:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    144  1509    529343   10943  -3755245.7427   3633107.0324   3645597.2423     671.1026    1536.2927       1.8869
    145  1509    529344   10944  -3755238.2354   3633100.9544   3645610.8697     670.2497    1552.9744       1.8424
    146  1509    529345   10945  -3755229.7956   3633096.1324   3645624.2005     667.8457    1569.2965       1.7939
    147  1509    529346   10946  -3755220.1665   3633092.8320   3645637.2738     663.5211    1585.2909       1.7640
    148  1509    529347   10947  -3755209.3702   3633090.9568   3645650.1320     657.3607    1601.0217       1.7352
    149  1509    529348   10948  -3755197.5630   3633090.5065   3645662.6690     649.4735    1616.3377       1.7382
    150  1509    529349   10949  -3755184.8096   3633091.5755   3645674.6677     639.8364    1630.9967       1.7403
    151  1509    529350   10950  -3755171.2027   3633094.4473   3645685.7505     628.3103    1644.5382       1.7400
    152  1509    529351   10951  -3755156.9897   3633099.2091   3645695.5571     615.0044    1656.5302       1.7258
    153  1509    529352   10952  -3755142.4676   3633105.6784   3645704.0180     600.2567    1666.8663       1.7284
    154  1509    529353   10953  -3755127.8558   3633113.6724   3645711.0827     584.3508    1675.4874       1.7438
    155  1509    529354   10954  -3755113.3967   3633123.1589   3645716.6050     567.4786    1682.1867       1.8122
    156  1509    529355   10955  -3755099.1998   3633133.7800   3645720.7386     549.9735    1687.1878       1.8826
    157  1509    529356   10956  -3755085.0786   3633144.8668   3645724.2084     532.1863    1691.4283       1.8812
    158  1509    529357   10957  -3755070.8998   3633156.0574   3645727.6102     514.2845    1695.5955       1.8660
    159  1509    529358   10958  -3755056.6928   3633167.2819   3645731.0131     496.3388    1699.7616       1.8540
    160  1509    529359   10959  -3755042.4855   3633178.5074   3645734.4746     478.3921    1703.9755       1.8762
    161  1509    529360   10960  -3755028.3151   3633189.7305   3645737.9567     460.4728    1708.1919       1.9305
    162  1509    529361   10961  -3755014.1059   3633200.9032   3645741.3137     442.5626    1712.3421       1.8614
    163  1509    529362   10962  -3754999.9105   3633212.0689   3645744.7067     424.6672    1716.5188       1.8171
    164  1509    529363   10963  -3754985.7379   3633223.1863   3645748.1442     406.8223    1720.7419       1.7844
    165  1509    529364   10964  -3754971.5925   3633234.2958   3645751.6372     389.0020    1725.0023       1.7949
    166  1509    529365   10965  -3754957.4612   3633245.3647   3645755.1190     371.2207    1729.2640       1.7844
    167  1509    529366   10966  -3754943.3657   3633256.4257   3645758.5887     353.4699    1733.5040       1.7834
    168  1509    529367   10967  -3754929.3326   3633267.4909   3645762.0381     335.7595    1737.7001       1.8097
    169  1509    529368   10968  -3754915.4328   3633278.3906   3645765.5085     318.2608    1741.9245       1.8325
    170  1509    529369   10969  -3754901.6435   3633288.5670   3645769.6089     301.3587    1746.9078       1.8704
    171  1509    529370   10970  -3754887.9172   3633297.5848   3645774.7453     285.3329    1753.1760       1.8813
    173  1509    529372   10972  -3754860.7171   3633311.4966   3645788.8116     256.4204    1770.3606       1.8842
    174  1509    529373   10973  -3754847.1467   3633316.4053   3645797.8469     243.4559    1781.3973       1.8883
    175  1509    529374   10974  -3754833.8278   3633319.7679   3645808.1222     231.7774    1793.9629       1.8729
    176  1509    529375   10975  -3754820.9135   3633321.6734   3645819.4314     221.4273    1807.7898       1.8602
    177  1509    529376   10976  -3754808.4433   3633322.3001   3645831.5377     212.3050    1822.5967       1.8388
    178  1509    529377   10977  -3754796.1560   3633322.3195   3645844.0279     203.7463    1837.8850       1.8000
    179  1509    529378   10978  -3754783.8497   3633322.1414   3645856.7048     195.3163    1853.4128       1.7447
    180  1509    529379   10979  -3754771.5066   3633321.9881   3645869.4825     186.8429    1869.0284       1.7400
    181  1509    529380   10980  -3754759.1216   3633321.9189   3645882.2202     178.2799    1884.5949       1.7355
    182  1509    529381   10981  -3754746.7625   3633321.8684   3645894.9041     169.7215    1900.0992       1.7260
    183  1509    529382   10982  -3754734.5329   3633321.7482   3645907.6110     161.3032    1915.5968       1.7661
    184  1509    529383   10983  -3754722.4036   3633321.5087   3645920.3320     153.0404    1931.1122       1.8054
    185  1509    529384   10984  -3754710.5413   3633320.8482   3645933.1569     145.2659    1946.7705       1.8219
    187  1509    529386   10986  -3754688.3200   3633317.1258   3645959.5970     132.4878    1979.0729       1.8262
    188  1509    529387   10987  -3754678.0054   3633314.0711   3645973.1708     127.5100    1995.6617       1.8206
    189  1509    529388   10988  -3754668.2214   3633310.2758   3645986.9561     123.4334    2012.5006       1.8270
    190  1509    529389   10989  -3754659.0213   3633305.6499   3646000.9213     120.3597    2029.5775       1.8075
    191  1509    529390   10990  -3754650.3801   3633300.2738   3646015.0391     118.2138    2046.8482       1.7774
    192  1509    529391   10991  -3754642.0045   3633294.4769   3646029.2723     116.5550    2064.2719       1.7303
    193  1509    529392   10992  -3754633.6367   3633288.5806   3646043.6277     114.9730    2081.8322       1.7014
    194  1509    529393   10993  -3754625.2207   3633282.6704   3646058.0892     113.3675    2099.5046       1.6972
    195  1509    529394   10994  -3754616.7541   3633276.8024   3646072.5900     111.6965    2117.2133       1.7099
    196  1509    529395   10995  -3754608.3153   3633270.8999   3646087.0796     110.0697    2134.9152       1.7129
    197  1509    529396   10996  -3754599.9072   3633264.9629   3646101.5416     108.4890    2152.5954       1.6984
    198  1509    529397   10997  -3754591.5010   3633259.0593   3646116.0132     106.8855    2170.2695       1.7096
    199  1509    529398   10998  -3754583.0051   3633253.2399   3646130.4821     105.1592    2187.9448       1.7143
    200  1509    529399   10999  -3754574.4115   3633247.6522   3646144.7950     103.1985    2205.4401       1.7038
    201  1509    529400   11000  -3754565.4984   3633242.7011   3646158.7776     100.5581    2222.5427       1.6780
    202  1509    529401   11001  -3754555.8210   3633238.8461   3646172.3964      96.5985    2239.2251       1.6175
    203  1509    529402   11002  -3754545.4029   3633236.2025   3646185.6718      91.2533    2255.4482       1.6135
    204  1509    529403   11003  -3754534.2318   3633234.8324   3646198.4298      84.4693    2271.0500       1.5941
    205  1509    529404   11004  -3754522.5184   3633234.6056   3646210.6558      76.4866    2285.9834       1.6009
    206  1509    529405   11005  -3754510.3022   3633235.5192   3646222.2408      67.3348    2300.1442       1.5927
    207  1509    529406   11006  -3754497.6624   3633237.6088   3646233.1039      57.0433    2313.4190       1.5899
